"fl_id,""eta"",""etd"",""landing"",""airborne"",""checkin_open"",""seat_f"",""seat_j"",""seat_y"",""book_load_f"",""book_load_j"",""book_load_y"",""final_f"",""final_j"",""final_y"",""final_a"",""final_c"",""final_i"",""bag_pcs"",""bag_kg"",""counter_no"",""counter_island"",""controller_id"",""supervisor_id"",""checkin_total_staff_deploy"",""checkin_closed"",""boardingstart"",""gate_f"",""gate_j"",""gate_y"",""gate_a"",""gate_c"",""gate_i"",""gate_staff_deploy"",""gate_no"",""boarding_finish"",""chock_on"",""chock_off"",""pax_door_open"",""pax_door_close"",""cargo_door_open"",""cargo_door_close"",""unloading_start"",""unloading_finish"",""loading_start"",""loading_finish"""
"12,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"13,""2025-09-29 22:00:00.000"",""2025-09-29 22:25:00.000"",""2025-09-29 22:24:00.000"",""2025-09-29 23:24:00.000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-29 22:34:00.000"",""2025-09-29 23:13:00.000"",""2025-09-29 22:36:00.000"",""2025-09-29 23:02:00.000"",""2025-09-29 22:35:00.000"",""2025-09-29 23:01:00.000"",""2025-09-29 22:36:00.000"",""2025-09-29 22:42:00.000"",""2025-09-29 22:45:00.000"",""2025-09-29 23:00:00.000"""
"14,""2025-09-29 21:10:00.000"",""2025-09-29 22:15:00.000"",""2025-09-29 21:11:00.000"",""2025-09-29 22:47:00.000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-29 21:23:00.000"",""2025-09-29 22:30:00.000"",""2025-09-29 21:26:00.000"",""2025-09-29 22:28:00.000"",""2025-09-29 21:25:00.000"",""2025-09-29 22:13:00.000"",""2025-09-29 21:26:00.000"",""2025-09-29 21:36:00.000"",""2025-09-29 21:37:00.000"",""2025-09-29 22:10:00.000"""
"15,""2025-09-29 19:48:00.000"",""2025-09-29 22:15:00.000"",""2025-09-29 19:50:00.000"",""2025-09-29 22:31:00.000"",""2025-09-29 18:10:00.000"",""0"",""24"",""333"",""0"",""0"",""333"",""0"",""0"",""326"",""323"",""3"",""0"",""189"",""2854"",""6"",""E29-35"",""221139"",""1911192"",""6"",""2025-09-29 21:15:00.000"",""2025-09-29 21:25:00.000"",""0"",""0"",""326"",""323"",""3"",""0"",""5"",""8"",""2025-09-29 22:02:00.000"",""2025-09-29 19:56:00.000"",""2025-09-29 22:12:00.000"",""2025-09-29 19:58:00.000"",""2025-09-29 22:08:00.000"",""2025-09-29 20:58:00.000"",""2025-09-29 22:00:00.000"",""2025-09-29 21:00:00.000"",""2025-09-29 21:14:00.000"",""2025-09-29 21:16:00.000"",""2025-09-29 21:55:00.000"""
"16,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"17,""2025-09-29 20:05:00.000"",""2025-09-29 21:35:00.000"",""2025-09-29 20:14:00.000"",""2025-09-29 21:34:00.000"",""2025-09-29 18:35:00.000"","""",""36"",""301"","""",""30"",""284"","""",""30"",""271"","""","""",""1"",""293"",""4825"",""9"",""C1-C9"",""2303375"",""2001805"",""10"",""2025-09-29 20:35:00.000"",""2025-09-29 20:54:00.000"","""",""30"",""271"","""","""",""1"",""5"",""1A"",""2025-09-29 21:14:00.000"",""2025-09-29 20:18:00.000"",""2025-09-29 21:23:00.000"",""2025-09-29 20:21:00.000"",""2025-09-29 21:17:00.000"",""2025-09-29 20:24:00.000"",""2025-09-29 21:17:00.000"",""2025-09-29 20:27:00.000"",""2025-09-29 20:36:00.000"",""2025-09-29 20:31:00.000"",""2025-09-29 21:07:00.000"""
"18,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"19,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"20,""2025-09-29 19:50:00.000"",""2025-09-29 21:25:00.000"",""2025-09-29 20:09:00.000"",""2025-09-29 21:50:00.000"",""2025-09-29 18:30:00.000"",""0"",""28"",""283"",""0"",""26"",""220"",""0"",""26"",""216"",""228"",""14"",""1"",""271"",""4358"",""7"",""D07-D13"",""1608073"",""1306703"",""11"",""2025-09-29 20:50:00.000"",""2025-09-29 21:12:00.000"",""0"",""26"",""216"",""228"",""14"",""1"",""5"",""7"",""2025-09-29 21:23:00.000"",""2025-09-29 20:29:00.000"",""2025-09-29 21:34:00.000"",""2025-09-29 20:29:00.000"",""2025-09-29 21:31:00.000"",""2025-09-29 20:29:00.000"",""2025-09-29 21:26:00.000"",""2025-09-29 20:30:00.000"",""2025-09-29 20:48:00.000"",""2025-09-29 20:49:00.000"",""2025-09-29 21:17:00.000"""
"21,""2025-09-29 16:07:00.000"",""2025-09-29 21:25:00.000"",""2025-09-29 15:55:00.000"",""2025-09-29 21:34:00.000"",""2025-09-29 18:25:00.000"",""0"",""40"",""206"",""0"",""38"",""188"",""0"",""37"",""188"",""218"",""7"",""4"",""266"",""4310"",""6"",""B"",""1704408"",""1104005"",""11"",""2025-09-29 20:55:00.000"",""2025-09-29 20:55:00.000"",""0"",""37"",""189"",""216"",""7"",""4"",""5"",""2A"",""2025-09-29 21:10:00.000"",""2025-09-29 16:07:00.000"",""2025-09-29 21:18:00.000"",""2025-09-29 16:10:00.000"",""2025-09-29 21:13:00.000"",""2025-09-29 16:10:00.000"",""2025-09-29 21:15:00.000"",""2025-09-29 16:12:00.000"",""2025-09-29 16:35:00.000"",""2025-09-29 20:14:00.000"",""2025-09-29 20:51:00.000"""
"22,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"23,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"24,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"25,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"26,""2025-09-29 19:41:00.000"",""2025-09-29 20:59:00.000"",""2025-09-29 19:30:00.000"",""2025-09-29 20:59:00.000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-29 19:41:00.000"",""2025-09-29 20:59:00.000"",""2025-09-29 19:42:00.000"",""2025-09-29 21:58:00.000"",""2025-09-29 19:42:00.000"",""2025-09-29 20:55:00.000"",""2025-09-29 19:43:00.000"",""2025-09-29 20:33:00.000"",""2025-09-29 20:35:00.000"",""2025-09-29 20:53:00.000"""
"27,""2025-09-29 16:51:00.000"",""2025-09-29 21:00:00.000"",""2025-09-29 16:51:00.000"",""2025-09-29 21:05:00.000"",""2025-09-29 17:35:00.000"","""",""32"",""297"","""",""29"",""306"","""",""32"",""298"",""328"",""2"",""3"",""360"",""6180"",""8"",""B"",""110,400,102,211,417"",""1705503"",""13"",""2025-09-29 20:00:00.000"",""2025-09-29 19:51:00.000"",""0"",""32"",""297"",""327"",""2"",""3"",""5"",""10"",""2025-09-29 20:30:00.000"",""2025-09-29 17:06:00.000"",""2025-09-29 20:47:00.000"",""2025-09-29 17:11:00.000"",""2025-09-29 20:40:00.000"",""2025-09-29 17:09:00.000"",""2025-09-29 20:33:00.000"",""2025-09-29 17:11:00.000"",""2025-09-29 17:33:00.000"",""2025-09-29 19:35:00.000"",""2025-09-29 20:22:00.000"""
"28,""2025-09-26 07:35:00.000"",""2025-09-29 21:00:00.000"",""2025-09-26 07:35:00.000"",""2025-09-29 21:00:00.000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-26 07:35:00.000"",""2025-09-29 21:00:00.000"",""2025-09-26 07:38:00.000"",""2025-09-29 20:58:00.000"",""2025-09-26 07:39:00.000"",""2025-09-29 20:38:00.000"",""2025-09-26 07:40:00.000"",""2025-09-26 07:42:00.000"",""2025-09-29 20:35:00.000"",""2025-09-29 20:36:00.000"""
"29,""2025-09-29 18:46:00.000"",""2025-09-29 20:45:00.000"",""2025-09-29 18:43:00.000"",""2025-09-29 21:10:00.000"",""2025-09-30 06:00:00.000"",""0"",""27"",""239"",""0"",""27"",""218"",""0"",""27"",""225"",""236"",""16"",""0"",""275"",""4756"",""6"",""A"",""1605807"",""811010"",""13"",""2025-09-29 19:45:00.000"",""2025-09-29 20:12:00.000"",""0"",""27"",""225"",""236"",""16"",""0"",""4"",""9"",""2025-09-29 20:33:00.000"",""2025-09-29 18:52:00.000"",""2025-09-29 20:51:00.000"",""2025-09-29 18:52:00.000"",""2025-09-29 20:48:00.000"",""2025-09-29 18:53:00.000"",""2025-09-29 20:32:00.000"",""2025-09-29 18:55:00.000"",""2025-09-29 19:16:00.000"",""2025-09-29 19:30:00.000"",""2025-09-29 20:00:00.000"""
"30,""2025-09-29 20:00:00.000"",""2025-09-29 20:30:00.000"",""2025-09-29 19:49:00.000"",""2025-09-29 20:35:00.000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-29 19:58:00.000"",""2025-09-29 20:30:00.000"",""2025-09-29 20:01:00.000"",""2025-09-29 20:28:00.000"",""2025-09-29 19:59:00.000"",""2025-09-29 20:26:00.000"",""2025-09-29 20:02:00.000"",""2025-09-29 20:10:00.000"",""2025-09-29 20:05:00.000"",""2025-09-29 20:25:00.000"""
"31,""2025-09-29 19:39:00.000"",""2025-09-29 20:22:00.000"",""2025-09-29 19:27:00.000"",""2025-09-29 20:37:00.000"",""2025-09-29 17:00:00.000"","""",""10"",""144"","""",""9"",""135"","""",""9"",""135"",""138"",""6"","""",""175"",""2370"",""5"",""C"",""2209021"",""1909872"",""7"",""2025-09-29 19:40:00.000"",""2025-09-29 20:07:00.000"","""",""9"",""135"",""138"",""6"","""",""8"",""2"",""2025-09-29 20:21:00.000"",""2025-09-29 19:32:00.000"",""2025-09-29 20:27:00.000"",""2025-09-29 19:36:00.000"",""2025-09-29 20:23:00.000"",""2025-09-29 19:37:00.000"",""2025-09-29 20:19:00.000"",""2025-09-29 19:38:00.000"",""2025-09-29 19:47:00.000"",""2025-09-29 19:48:00.000"",""2025-09-29 20:18:00.000"""
"32,""2025-09-29 19:11:00.000"",""2025-09-29 20:15:00.000"",""2025-09-29 19:09:00.000"",""2025-09-29 20:31:00.000"",""2025-09-29 17:15:00.000"",""0"",""42"",""212"",""0"",""25"",""174"",""0"",""25"",""171"",""191"",""5"",""2"",""204"",""3194"",""12"",""C"",""1207317"",""1004008"",""17"",""2025-09-29 19:15:00.000"",""2025-09-29 19:53:00.000"",""0"",""25"",""171"",""191"",""5"",""2"",""6"",""8"",""2025-09-29 20:04:00.000"",""2025-09-29 19:20:00.000"",""2025-09-29 20:15:00.000"",""2025-09-29 19:23:00.000"",""2025-09-29 20:09:00.000"",""2025-09-29 19:23:00.000"",""2025-09-29 20:08:00.000"",""2025-09-29 19:24:00.000"",""2025-09-29 19:38:00.000"",""2025-09-29 19:40:00.000"",""2025-09-29 20:00:00.000"""
"33,""2025-09-29 18:10:00.000"",""2025-09-29 20:10:00.000"",""2025-09-29 18:24:00.000"",""2025-09-29 20:18:00.000"",""2025-09-29 18:00:00.000"",""0"",""0"",""174"",""0"",""0"",""159"",""0"",""0"",""154"",""151"",""2"",""0"",""138"",""1655"",""4"",""E14-17"",""2405313"",""1911171"",""5"",""2025-09-29 19:40:00.000"",""2025-09-29 19:31:00.000"",""0"",""0"",""153"",""151"",""2"",""0"",""4"",""G64/U26"",""2025-09-29 20:00:00.000"",""2025-09-29 18:39:00.000"",""2025-09-29 20:05:00.000"",""2025-09-29 18:42:00.000"",""2025-09-29 20:03:00.000"",""2025-09-29 18:39:00.000"",""2025-09-29 20:00:00.000"",""2025-09-29 18:40:00.000"",""2025-09-29 18:50:00.000"",""2025-09-29 19:05:00.000"",""2025-09-29 19:59:00.000"""
"34,""2025-09-29 18:50:00.000"",""2025-09-29 20:00:00.000"",""2025-09-29 18:44:00.000"",""2025-09-29 20:25:00.000"",""2025-09-29 17:00:00.000"",""0"",""36"",""301"",""0"",""34"",""276"",""0"",""34"",""292"",""323"",""3"",""4"",""335"",""5974"",""12"",""C"",""2303377"",""1008006"",""14"",""2025-09-29 19:00:00.000"",""2025-09-29 19:30:00.000"","""",""34"",""292"","""","""",""4"",""5"",""4"",""2025-09-29 19:50:00.000"",""2025-09-29 18:52:00.000"",""2025-09-29 20:01:00.000"",""2025-09-29 18:54:00.000"",""2025-09-29 19:57:00.000"",""2025-09-29 18:56:00.000"",""2025-09-29 19:54:00.000"",""2025-09-29 18:57:00.000"",""2025-09-29 19:06:00.000"",""2025-09-29 19:13:00.000"",""2025-09-29 19:49:00.000"""
"35,""2025-09-29 19:05:00.000"",""2025-09-29 19:50:00.000"",""2025-09-29 18:53:00.000"",""2025-09-29 20:07:00.000"",""2025-09-29 16:50:00.000"",""0"",""12"",""162"",""0"",""5"",""136"",""0"",""5"",""135"",""129"",""11"",""0"",""174"",""2027"",""4"",""C"",""1912460"",""1912633"",""4"",""2025-09-29 18:50:00.000"",""2025-09-29 19:35:00.000"",""0"",""5"",""135"",""129"",""11"",""0"",""3"",""4"",""2025-09-29 19:44:00.000"",""2025-09-29 19:05:00.000"",""2025-09-29 19:51:00.000"",""2025-09-29 19:06:00.000"",""2025-09-29 19:50:00.000"",""2025-09-29 19:06:00.000"",""2025-09-29 19:45:00.000"",""2025-09-29 19:07:00.000"",""2025-09-29 19:30:00.000"",""2025-09-29 19:30:00.000"",""2025-09-29 19:43:00.000"""
"36,""2025-09-29 18:45:00.000"",""2025-09-29 19:45:00.000"",""2025-09-29 20:06:00.000"",""2025-09-29 21:14:00.000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-29 20:16:00.000"",""2025-09-29 21:00:00.000"",""2025-09-29 20:18:00.000"",""2025-09-29 20:58:00.000"",""2025-09-29 20:18:00.000"",""2025-09-29 20:52:00.000"",""2025-09-29 20:19:00.000"",""2025-09-29 20:24:00.000"",""2025-09-29 20:25:00.000"",""2025-09-29 20:50:00.000"""
"37,""2025-09-29 16:55:00.000"",""2025-09-29 19:45:00.000"",""2025-09-29 16:55:00.000"",""2025-09-29 20:12:00.000"",""2025-09-29 15:45:00.000"",""0"",""57"",""557"",""0"",""45"",""539"",""0"",""53"",""542"",""584"",""11"",""1"",""653"",""12274"",""13"",""C12 B13-24"",""1911188"","""",""16"",""2025-09-29 18:45:00.000"",""2025-09-29 18:52:00.000"",""0"",""53"",""542"",""584"",""11"",""1"",""9"",""9B"",""2025-09-29 19:22:00.000"",""2025-09-29 17:00:00.000"",""2025-09-29 19:45:00.000"",""2025-09-29 17:02:00.000"",""2025-09-29 19:40:00.000"",""2025-09-29 17:04:00.000"",""2025-09-29 19:39:00.000"",""2025-09-29 17:05:00.000"",""2025-09-29 17:31:00.000"",""2025-09-29 18:35:00.000"",""2025-09-29 19:31:00.000"""
"38,""2025-09-29 17:40:00.000"",""2025-09-29 19:40:00.000"",""2025-09-29 17:03:00.000"",""2025-09-29 19:40:00.000"",""2025-09-29 16:36:00.000"",""0"",""0"",""174"",""0"",""0"",""52"",""0"",""0"",""48"",""48"",""0"",""0"",""44"",""643"",""4"",""D18-21"",""2310019"",""1911261"",""4"",""2025-09-29 18:42:00.000"",""2025-09-29 19:15:00.000"","""","""",""48"",""48"",""0"",""0"",""3"",""6C"",""2025-09-29 19:27:00.000"",""2025-09-29 17:05:00.000"",""2025-09-29 19:29:00.000"",""2025-09-29 17:07:00.000"",""2025-09-29 19:28:00.000"",""2025-09-29 17:06:00.000"",""2025-09-29 19:24:00.000"",""2025-09-29 17:10:00.000"",""2025-09-29 17:21:00.000"",""2025-09-29 18:53:00.000"",""2025-09-29 19:02:00.000"""
"39,""2025-09-29 20:51:00.000"",""2025-09-29 21:26:00.000"",""2025-09-29 20:51:00.000"",""2025-09-29 21:26:00.000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-29 20:51:00.000"",""2025-09-29 21:26:00.000"",""2025-09-29 20:52:00.000"",""2025-09-29 21:24:00.000"",""2025-09-29 20:53:00.000"",""2025-09-29 21:24:00.000"",""2025-09-29 20:55:00.000"",""2025-09-29 21:01:00.000"",""2025-09-29 21:02:00.000"",""2025-09-29 21:09:00.000"""
"40,""2025-09-29 20:30:00.000"",""2025-09-29 21:00:00.000"",""2025-09-29 20:15:00.000"",""2025-09-29 21:02:00.000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-29 20:18:00.000"",""2025-09-29 20:57:00.000"",""2025-09-29 20:20:00.000"",""2025-09-29 20:54:00.000"",""2025-09-29 20:19:00.000"",""2025-09-29 20:55:00.000"",""2025-09-29 20:20:00.000"",""2025-09-29 20:30:00.000"",""2025-09-29 20:31:00.000"",""2025-09-29 20:40:00.000"""
"41,""2025-09-29 18:13:00.000"",""2025-09-29 19:10:00.000"",""2025-09-29 18:11:00.000"",""2025-09-29 19:28:00.000"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2025-09-29 18:15:00.000"",""2025-09-29 19:10:00.000"",""2025-09-29 18:18:00.000"",""2025-09-29 19:07:00.000"",""2025-09-29 18:17:00.000"",""2025-09-29 19:04:00.000"",""2025-09-29 18:19:00.000"",""2025-09-29 18:37:00.000"",""2025-09-29 18:38:00.000"",""2025-09-29 18:58:00.000"""
"42,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""""
"43,""2025-09-29 18:22:00.000"",""2025-09-29 19:11:00.000"",""2025-09-29 18:15:00.000"",""2025-09-29 19:25:00.000"",""2025-09-29 16:00:00.000"",""0"",""10"",""144"",""0"",""8"",""128"",""0"",""6"",""127"",""132"",""1"",""1"",""155"",""2523"",""5"",""5"",""1910042"",""1910050"",""5"",""2025-09-29 18:50:00.000"",""2025-09-29 18:51:00.000"","""",""6"",""127"",""132"",""1"",""1"",""7"",""2"",""2025-09-29 18:58:00.000"",""2025-09-29 18:22:00.000"",""2025-09-29 19:11:00.000"",""2025-09-29 18:25:00.000"",""2025-09-29 19:08:00.000"",""2025-09-29 18:26:00.000"",""2025-09-29 19:08:00.000"",""2025-09-29 18:27:00.000"",""2025-09-29 18:39:00.000"",""2025-09-29 18:40:00.000"",""2025-09-29 18:50:00.000"""
"44,""2025-09-29 15:35:00.000"",""2025-09-29 19:10:00.000"",""2025-09-29 15:47:00.000"",""2025-09-29 19:10:00.000"",""2025-09-29 16:10:00.000"",""0"",""0"",""195"",""0"",""0"",""179"",""0"",""0"",""171"",""171"",""0"",""0"",""137"",""1749"",""4"",""E19-E22"",""2201034"",""2207566"",""4"",""2025-09-29 18:10:00.000"",""2025-09-29 18:36:00.000"",""0"",""0"",""171"",""171"",""0"",""0"",""4"",""1"",""2025-09-29 18:51:00.000"",""2025-09-29 15:58:00.000"",""2025-09-29 18:56:00.000"",""2025-09-29 16:00:00.000"",""2025-09-29 18:54:00.000"",""2025-09-29 15:59:00.000"",""2025-09-29 18:54:00.000"",""2025-09-29 16:00:00.000"",""2025-09-29 16:13:00.000"",""2025-09-29 18:20:00.000"",""2025-09-29 18:50:00.000"""
"45,""2025-09-29 09:25:00.000"",""2025-09-29 19:05:00.000"",""2025-09-29 09:18:00.000"",""2025-09-29 19:19:00.000"",""2025-09-29 15:30:00.000"",""0"",""32"",""295"",""0"",""32"",""296"",""0"",""32"",""291"",""318"",""5"",""1"",""334"",""5445"",""7"",""D"",""2009501"",""1212450"",""11"",""2025-09-29 18:05:00.000"",""2025-09-29 18:10:00.000"",""0"",""32"",""291"",""318"",""5"",""1"",""5"",""2c"",""2025-09-29 18:39:00.000"",""2025-09-29 09:29:00.000"",""2025-09-29 18:59:00.000"",""2025-09-29 09:33:00.000"",""2025-09-29 18:54:00.000"",""2025-09-29 09:33:00.000"",""2025-09-29 18:46:00.000"",""2025-09-29 09:35:00.000"",""2025-09-29 10:00:00.000"",""2025-09-29 17:07:00.000"",""2025-09-29 18:30:00.000"""
"46,""2025-09-29 18:08:00.000"",""2025-09-29 19:20:00.000"",""2025-09-29 18:02:00.000"",""2025-09-29 19:48:00.000"",""2025-09-29 16:20:00.000"",""4"",""48"",""212"",""2"",""35"",""186"",""2"",""29"",""194"",""217"",""8"",""2"",""238"",""3923"",""12"",""C"",""2210005"",""2206028"",""17"",""2025-09-29 18:20:00.000"",""2025-09-29 18:52:00.000"",""2"",""29"",""194"",""217"",""8"",""2"",""6"",""5"",""2025-09-29 19:15:00.000"",""2025-09-29 18:14:00.000"",""2025-09-29 19:29:00.000"",""2025-09-29 18:18:00.000"",""2025-09-29 19:16:00.000"",""2025-09-29 18:16:00.000"",""2025-09-29 19:12:00.000"",""2025-09-29 18:18:00.000"",""2025-09-29 18:41:00.000"",""2025-09-29 18:42:00.000"",""2025-09-29 19:05:00.000"""
